
c = [[ 0, 43, 37, 29, 16, 63, 16, 59, 20, 38, 12],
 [13,  0, 85, 83, 48, 54, 38, 24, 85, 14, 85],
 [13, 85,  0, 57, 13, 84, 25, 11, 75, 63, 87],
 [97, 82, 23,  0, 39, 58, 79, 53, 46, 71, 86],
 [96, 82, 43, 84,  0, 79, 66, 56, 23, 17, 20],
 [97, 72, 39, 53, 55,  0, 54, 16, 48, 93, 82],
 [74, 71, 67, 89, 77, 47,  0, 42, 64, 80, 81],
 [18, 71, 12, 28, 86, 49, 24,  0, 71, 63, 67],
 [53, 67, 58, 58, 48, 67, 12, 29,  0, 96, 73],
 [16, 99, 14, 88, 89, 21, 49, 23, 42,  0, 89],
 [37, 35, 52, 68, 39, 75, 69, 95, 21, 44,  0]];


t = [[ 0, 37, 10, 41,  9, 26, 35, 19, 13, 34, 16],
 [26,  0, 40, 32, 25, 21, 46, 19, 17, 26, 14],
 [34, 30,  0, 23, 21, 25, 41, 18,  6, 37, 40],
 [41,  5,  9,  0, 17,  9, 26, 15, 43, 21, 18],
 [29, 49, 39, 35,  0, 31, 49, 42, 22,  7, 46],
 [27, 48, 35,  9, 18,  0, 28, 34, 13, 26, 49],
 [20, 13, 27, 27,  8,  5,  0, 35, 12, 21, 10],
 [47, 46, 40, 11,  7, 33, 24,  0, 15, 18, 25],
 [47, 20,  8, 35, 17,  9, 13, 32,  0, 40, 23],
 [30, 31, 31, 37, 36, 42, 23, 13, 18,  0, 34],
 [32,  7, 32,  9, 23, 37,  5, 47, 39, 45,  0]];


p = [8, 8, 9, 11, 17, 12, 15, 14, 14, 8];
w = [3, 2, 4, 2, 1, 3, 4, 4, 3, 4];
d = [193, 69, 95, 71, 136, 165, 135, 82, 50, 199];
F = 50;
Q = [2, 2, 3, 3, 3, 3, 2, 3, 2, 3]; 
M = 1000;   
   

 
